Word,Year,Round,Part_of_Speech,Language,Times_Used,Years_Since_Last_Used,Num_Syllables,Word_Length,Reduplication,Error
chattel,1997,4,noun,Germanic,1,0,2,7,1,1
chaussure,1999,1,noun,Germanic,1,0,2,9,1,1
cinnabar,2011,3,noun,Germanic,1,0,3,8,1,0
collusion,1996,2,noun,Germanic,1,0,3,9,1,0
collyrium,2006,9,noun,Germanic,1,0,4,9,1,1
commination,1998,3,noun,Germanic,1,0,4,11,1,1
concession,1997,2,noun,Germanic,1,0,3,10,1,0
concussion,1997,2,noun,Germanic,1,0,3,10,1,0
constellation,1997,2,noun,Germanic,1,0,4,13,1,0
corollary,1999,3,noun,Germanic,1,0,3,9,1,0
cruller,2015,2,noun,Germanic,1,0,2,7,1,0
currant,1996,3,noun,Germanic,1,0,2,7,1,0
daffodil,2015,2,noun,Germanic,1,0,3,8,1,0
dissimilitude,1997,4,noun,Germanic,1,0,5,13,1,0
drahthaar,2016,26,noun,Germanic,1,0,2,9,1,1
duress,2001,2,noun,Germanic,1,0,2,6,1,0
ebbet,2006,3,noun,Germanic,1,0,2,5,1,0
edelweiss,2001,1,noun,Germanic,1,0,2,9,1,0
fennel,2015,2,noun,Germanic,1,0,2,6,1,0
ferrule,1996,4,noun,Germanic,1,0,2,7,1,1
flibbertigibbet,2004,3,noun,Germanic,1,0,5,15,1,0
foppery,1997,2,noun,Germanic,1,0,2,7,1,1
forestallment,1996,2,noun,Germanic,1,0,3,13,1,1
gallipot,2005,12,noun,Germanic,1,0,3,8,1,0
gammelost,2006,2,noun,Germanic,1,0,3,9,1,0
geelhout,2015,3,noun,Germanic,1,0,2,8,1,1
gesellschaft,2016,39,noun,Germanic,1,0,3,12,1,0
gibberish,1997,2,noun,Germanic,1,0,3,9,1,1
gibbet,1996,5,noun,Germanic,1,0,2,6,1,1
gifblaar,2017,35,noun,Germanic,1,0,2,8,1,0
glogg,1998,8,noun,Germanic,1,0,1,5,1,1
gneiss,2001,6,noun,Germanic,1,0,1,6,1,1
gossamer,1997,3,noun,Germanic,1,0,3,8,1,0
Grundriss,2012,5,noun,Germanic,1,0,2,9,1,1
gyttja,2016,23,noun,Germanic,1,0,2,6,1,0
haggis,1996,6,noun,Germanic,1,0,2,6,1,0
hallenkirche,2014,8,noun,Germanic,1,0,4,12,1,1
hartebeest,2005,2,noun,Germanic,1,0,2,10,1,1
hassock,2015,2,noun,Germanic,1,0,2,7,1,0
hellebore,1999,6,noun,Germanic,1,0,3,9,1,1
herrenvolk,2011,6,noun,Germanic,1,0,3,10,1,0
hexafoos,2011,9,noun,Germanic,1,0,3,8,1,0
hoodlum,2007,2,noun,Germanic,1,0,2,7,1,0
hyssop,1998,7,noun,Germanic,1,0,2,6,1,0
idlesse,2013,3,noun,Germanic,1,0,2,7,1,0
immiserization,2012,3,noun,Germanic,1,0,6,14,1,0
impuissance,2007,5,noun,Germanic,1,0,3,11,1,1
intelligence,2007,2,noun,Germanic,1,0,4,12,1,0
isinglass,1998,5,noun,Germanic,1,0,2,9,1,1
keeshond,2004,2,noun,Germanic,1,0,2,8,1,0
keest,2011,2,noun,Germanic,1,0,1,5,1,1
kennel,2009,2,noun,Germanic,1,0,2,6,1,0
keurboom,2016,22,noun,Germanic,1,0,2,8,1,0
krill,2001,2,noun,Germanic,1,0,1,5,1,1
Krummholz,2004,2,noun,Germanic,1,0,2,9,1,1
lassitude,2013,3,noun,Germanic,1,0,3,9,1,0
leegte,2012,3,noun,Germanic,1,0,2,6,1,0
lemming,1996,2,noun,Germanic,1,0,2,7,1,0
lullaby,2000,2,noun,Germanic,1,0,3,7,1,0
maar,2005,2,noun,Germanic,1,0,1,4,1,1
mademoiselle,2000,3,noun,Germanic,1,0,4,12,1,0
mallet,2001,2,noun,Germanic,1,0,2,6,1,0
mammon,1996,4,noun,Germanic,1,0,2,6,1,1
manna,1997,3,noun,Germanic,1,0,2,5,1,0
mappemonde,2015,3,noun,Germanic,1,0,2,10,1,0
marriage,2007,2,noun,Germanic,1,0,2,8,1,0
mastiff,2001,2,noun,Germanic,1,0,2,7,1,0
mattock,1999,2,noun,Germanic,1,0,2,7,1,0
medulla,1996,3,noun,Germanic,1,0,3,7,1,0
meerschaum,1996,5,noun,Germanic,1,0,2,10,1,1
messuage,2014,5,noun,Germanic,1,0,2,8,1,0
mettwurst,2006,2,noun,Germanic,1,0,2,9,1,1
midriff,2000,2,noun,Germanic,1,0,2,7,1,0
minnelied,2013,6,noun,Germanic,1,0,3,9,1,0
minnesinger,2003,1,noun,Germanic,1,0,4,11,1,1
mohnseed,2003,6,noun,Germanic,1,0,2,8,1,1
murrain,2004,2,noun,Germanic,1,0,2,7,1,0
mynheer,1998,1,noun,Germanic,1,0,2,7,1,1
nisse,2005,9,noun,Germanic,1,0,2,5,1,1
Occident,1998,2,noun,Germanic,1,0,3,8,1,1
occiput,2017,4,noun,Germanic,1,0,3,7,1,1
occision,2001,4,noun,Germanic,1,0,3,8,1,0
offal,2016,3,noun,Germanic,1,0,2,5,1,1
offertory,1996,3,noun,Germanic,1,0,4,9,1,0
oriflamme,2009,13,noun,Germanic,1,0,2,9,1,0
pallium,2011,4,noun,Germanic,1,0,3,7,1,0
pallor,1997,3,noun,Germanic,1,0,2,6,1,0
paraffin,2016,2,noun,Germanic,1,0,3,8,1,0
pfeffernuss,1999,5,noun,Germanic,1,0,3,11,1,1
pillage,2001,2,noun,Germanic,1,0,2,7,1,0
pillar,2009,2,noun,Germanic,1,0,2,6,1,0
pillory,1996,3,noun,Germanic,1,0,3,7,1,0
pinnacle,2010,2,noun,Germanic,1,0,3,8,1,0
pittance,2005,3,noun,Germanic,1,0,2,8,1,0
plaintiff,2000,2,noun,Germanic,1,0,2,9,1,0
Plattdeutsch,2007,5,noun,Germanic,1,0,2,12,1,1
polynee,2012,6,noun,Germanic,1,0,3,7,1,1
portcullis,1998,3,noun,Germanic,1,0,3,10,1,0
posset,2000,1,noun,Germanic,1,0,2,6,1,0
predecessor,2010,2,noun,Germanic,1,0,4,11,1,0
prowess,1997,3,noun,Germanic,1,0,2,7,1,0
pullet,2012,2,noun,Germanic,1,0,2,6,1,0
quarrel,2009,2,noun,Germanic,1,0,2,7,1,0
